[0.023s] Invoking command in '/home/mohamed/ws/build/articubot_one': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/mohamed/ros2_ws/install/serial_motor_demo:/opt/ros/humble /usr/bin/cmake --build /home/mohamed/ws/build/articubot_one -- -j4 -l4
[0.154s] Invoked command in '/home/mohamed/ws/build/articubot_one' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/mohamed/ros2_ws/install/serial_motor_demo:/opt/ros/humble /usr/bin/cmake --build /home/mohamed/ws/build/articubot_one -- -j4 -l4
[0.292s] Invoking command in '/home/mohamed/ws/build/articubot_one': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/mohamed/ros2_ws/install/serial_motor_demo:/opt/ros/humble /usr/bin/cmake --install /home/mohamed/ws/build/articubot_one
[0.323s] -- Install configuration: ""
[0.326s] -- Execute custom install script
[0.327s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/description/camera.xacro
[0.327s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/description/face.xacro
[0.328s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/description/gazebo_control.xacro
[0.328s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/description/inertial_macros.xacro
[0.329s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/description/lidar.xacro
[0.330s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/description/robot.urdf.xacro
[0.330s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/description/robot_core.xacro
[0.330s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/description/ros2_control.xacro
[0.332s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/config/ball_tracker_params_robot.yaml
[0.333s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/config/ball_tracker_params_sim.yaml
[0.333s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/config/drive_bot.rviz
[0.338s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/config/empty.yaml
[0.338s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/config/gaz_ros2_ctl_use_sim.yaml
[0.339s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/config/gazebo_params.yaml
[0.342s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/config/joystick.yaml
[0.342s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/config/main.rviz
[0.343s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/config/map.rviz
[0.343s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/config/mapper_params_online_async.yaml
[0.343s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/config/my_controllers.yaml
[0.343s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/config/nav2_params.yaml
[0.343s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/config/twist_mux.yaml
[0.344s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/config/view_bot.rviz
[0.344s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/launch/launch_robot.launch.py
[0.344s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/launch/launch_sim.launch.py
[0.345s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/launch/rsp.launch.py
[0.345s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/worlds/empty.world
[0.345s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/worlds/obstacles.world
[0.345s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/ament_index/resource_index/package_run_dependencies/articubot_one
[0.345s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/ament_index/resource_index/parent_prefix_path/articubot_one
[0.346s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/environment/ament_prefix_path.sh
[0.346s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/environment/ament_prefix_path.dsv
[0.346s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/environment/path.sh
[0.347s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/environment/path.dsv
[0.347s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/local_setup.bash
[0.348s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/local_setup.sh
[0.349s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/local_setup.zsh
[0.349s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/local_setup.dsv
[0.350s] -- Symlinking: /home/mohamed/ws/install/articubot_one/share/articubot_one/package.dsv
[0.371s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/ament_index/resource_index/packages/articubot_one
[0.372s] -- Up-to-date symlink: /home/mohamed/ws/install/articubot_one/share/articubot_one/cmake/articubot_oneConfig.cmake
